Date,Economically Active Population (thsd),Employed Population (thsd),Unemployed Population (thsd),Unemployment Rate (%)
2010-01-01,8448.4,7916.2,532.2,6.3
2010-02-01,8560.4,8029.7,530.7,6.2
2010-03-01,8657.7,8129.6,528.1,6.1
2010-04-01,8574.1,8059.7,514.4,6.0
2010-05-01,8619.3,8119.4,499.9,5.8
2010-06-01,8667.9,8173.8,494.1,5.7
2010-07-01,8656.5,8171.7,484.8,5.6
2010-08-01,8654.3,8169.7,484.6,5.6
2010-09-01,8647.6,8163.3,484.3,5.6
2010-10-01,8617.3,8143.3,474.0,5.5
2010-11-01,8615.6,8141.7,473.9,5.5
2010-12-01,8615.3,8141.5,473.8,5.5
2011-01-01,8610.3,8128.1,482.2,5.6
2011-02-01,8610.2,8136.6,473.6,5.5
2011-03-01,8610.8,8137.2,473.6,5.5
2011-04-01,8658.1,8181.9,476.2,5.5
2011-05-01,8672.1,8203.8,468.3,5.4
2011-06-01,8683.9,8223.7,460.2,5.3
2011-07-01,8920.6,8447.8,472.8,5.3
2011-08-01,8915.7,8443.2,472.5,5.3
2011-09-01,8910.4,8438.1,472.3,5.3
2011-10-01,8890.0,8418.8,471.2,5.3
2011-11-01,8884.1,8404.4,479.7,5.4
2011-12-01,8945.1,8462.1,483.0,5.4
2012-01-01,8924.3,8442.4,481.9,5.4
2012-02-01,8949.9,8466.6,483.3,5.4
2012-03-01,8948.8,8474.5,474.3,5.3
2012-04-01,8965.0,8489.9,475.1,5.3
2012-05-01,9004.0,8526.8,477.2,5.3
2012-06-01,9030.4,8560.8,469.6,5.2
2012-07-01,9014.0,8545.3,468.7,5.2
2012-08-01,9013.8,8545.1,468.7,5.2
2012-09-01,9011.6,8534.0,477.6,5.3
2012-10-01,8975.1,8499.4,475.7,5.3
2012-11-01,8974.5,8498.9,475.6,5.3
2012-12-01,8974.6,8498.9,475.7,5.3
2013-01-01,9011.8,8534.2,477.6,5.3
2013-02-01,9024.2,8545.9,478.3,5.3
2013-03-01,9025.8,8547.4,478.4,5.3
2013-04-01,9060.4,8589.3,471.1,5.2
2013-05-01,9059.7,8588.6,471.1,5.2
2013-06-01,9059.6,8588.5,471.1,5.2
2013-07-01,9075.0,8603.1,471.9,5.2
2013-08-01,9076.2,8604.2,472.0,5.2
2013-09-01,9076.8,8604.8,472.0,5.2
2013-10-01,9042.9,8572.7,470.2,5.2
2013-11-01,9042.3,8572.1,470.2,5.2
2013-12-01,9042.0,8571.8,470.2,5.2
2014-01-01,9051.7,8590.1,461.6,5.1
2014-02-01,9050.9,8589.3,461.6,5.1
2014-03-01,9050.8,8589.2,461.6,5.1
2014-04-01,9103.8,8639.5,464.3,5.1
2014-05-01,9116.7,8651.7,465.0,5.1
2014-06-01,9114.7,8659.0,455.7,5.0
2014-07-01,9135.5,8678.7,456.8,5.0
2014-08-01,9137.2,8680.3,456.9,5.0
2014-09-01,9137.4,8680.5,456.9,5.0
2014-10-01,9109.6,8654.1,455.5,5.0
2014-11-01,9109.6,8654.1,455.5,5.0
2014-12-01,9109.9,8654.4,455.5,5.0
2015-01-01,8933.6,8486.9,446.7,5.0
2015-02-01,8866.0,8422.7,443.3,5.0
2015-03-01,8890.2,8445.7,444.5,5.0
2015-04-01,9023.4,8572.2,451.2,5.0
2015-05-01,9023.9,8572.7,451.2,5.0
2015-06-01,9024.1,8572.9,451.2,5.0
2015-07-01,9076.9,8632.1,444.8,4.9
2015-08-01,9080.5,8635.6,444.9,4.9
2015-09-01,9077.8,8633.0,444.8,4.9
2015-10-01,8959.3,8511.3,448.0,5.0
2015-11-01,8959.4,8511.4,448.0,5.0
2015-12-01,8966.7,8509.4,457.3,5.1
2016-01-01,8847.2,8396.0,451.2,5.1
2016-02-01,8829.7,8379.4,450.3,5.1
2016-03-01,8829.3,8387.8,441.5,5.0
2016-04-01,8885.5,8441.2,444.3,5.0
2016-05-01,8933.2,8486.5,446.7,5.0
2016-06-01,8978.2,8529.3,448.9,5.0
2016-07-01,9015.5,8573.7,441.8,4.9
2016-08-01,9039.8,8596.8,443.0,4.9
2016-09-01,9038.6,8595.7,442.9,4.9
2016-10-01,9008.3,8566.9,441.4,4.9
2016-11-01,8960.7,8521.6,439.1,4.9
2016-12-01,8921.8,8484.6,437.2,4.9
2017-01-01,8888.7,8453.2,435.5,4.9
2017-02-01,8889.2,8453.6,435.6,4.9
2017-03-01,8902.3,8466.1,436.2,4.9
2017-04-01,8957.0,8518.1,438.9,4.9
2017-05-01,8989.4,8548.9,440.5,4.9
2017-06-01,8994.5,8553.8,440.7,4.9
2017-07-01,9012.2,8570.6,441.6,4.9
2017-08-01,9013.4,8571.7,441.7,4.9
2017-09-01,9013.7,8572.0,441.7,4.9
2017-10-01,8995.0,8554.2,440.8,4.9
2017-11-01,8977.0,8537.1,439.9,4.9
2017-12-01,8969.8,8530.3,439.5,4.9
2018-01-01,8991.3,8550.7,440.6,4.9
2018-02-01,9011.1,8569.6,441.5,4.9
2018-03-01,9018.6,8576.7,441.9,4.9
2018-04-01,9041.5,8598.5,443.0,4.9
2018-05-01,9089.4,8644.0,445.4,4.9
2018-06-01,9105.8,8659.6,446.2,4.9
2018-07-01,9144.3,8705.4,438.9,4.8
2018-08-01,9174.3,8733.9,440.4,4.8
2018-09-01,9190.0,8748.9,441.1,4.8
2018-10-01,9159.7,8720.0,439.7,4.8
2018-11-01,9149.0,8709.8,439.2,4.8
2018-12-01,9146.1,8707.1,439.0,4.8
2019-01-01,9159.6,8719.9,439.7,4.8
2019-02-01,9178.8,8738.2,440.6,4.8
2019-03-01,9187.8,8746.8,441.0,4.8
2019-04-01,9199.8,8758.2,441.6,4.8
2019-05-01,9204.3,8762.5,441.8,4.8
2019-06-01,9210.0,8767.9,442.1,4.8
2019-07-01,9214.2,8771.9,442.3,4.8
2019-08-01,9215.7,8773.3,442.4,4.8
2019-09-01,9216.0,8773.6,442.4,4.8
2019-10-01,9215.2,8772.9,442.3,4.8
2019-11-01,9215.0,8772.7,442.3,4.8
2019-12-01,9214.2,8771.9,442.3,4.8
2020-01-01,9214.6,8772.3,442.3,4.8
2020-02-01,9202.5,8760.8,441.7,4.8
2020-03-01,9192.7,8751.5,441.2,4.8
2020-04-01,9155.721996044009,8697.9,457.8,5.0
2020-05-01,9155.723648665882,8697.9,457.8,5.0
2020-06-01,9155.724948317491,8697.9,457.8,5.0
2020-07-01,9155.728477208308,8697.9,457.8,5.0
2020-08-01,9155.729057936729,8697.9,457.8,5.0
2020-09-01,9155.730929435975,8697.9,457.8,5.0
2020-10-01,9155.726330014772,8697.9,457.8,5.0
2020-11-01,9155.725572841146,8707.1,448.6,4.9
2020-12-01,9155.726381537752,8707.1,448.6,4.9
2021-01-01,9155.727484918067,8707.1,448.6,4.9
2021-02-01,9155.7289100299,8707.1,448.6,4.9
2021-03-01,9155.728995520793,8707.1,448.6,4.9
2021-04-01,9155.723495865472,8707.1,448.6,4.9
2021-05-01,9155.722687112213,8707.1,448.6,4.9
2021-06-01,9155.72327422187,8707.1,448.6,4.9
2021-07-01,9263.7,8809.8,453.9,4.9
2021-08-01,9263.8,8809.9,453.9,4.9
2021-09-01,9263.4,8809.5,453.9,4.9
2021-10-01,9257.3,8803.7,453.6,4.9
2021-11-01,9255.5,8802.0,453.5,4.9
2021-12-01,9274.1,8819.7,454.4,4.9
2022-01-01,9419.1,8957.6,461.5,4.9
2022-02-01,9420.1,8958.5,461.6,4.9
2022-03-01,9419.3,8957.8,461.5,4.9
2022-04-01,9427.4,8965.5,461.9,4.9
2022-05-01,9432.2,8970.0,462.2,4.9
2022-06-01,9434.2,8971.9,462.3,4.9
2022-07-01,9434.8,8972.5,462.3,4.9
2022-08-01,9430.1,8968.0,462.1,4.9
2022-09-01,9427.5,8965.6,461.9,4.9
2022-10-01,9421.5,8959.8,461.7,4.9
2022-11-01,9421.1,8959.5,461.6,4.9
2022-12-01,9422.2,8960.5,461.7,4.9
2023-01-01,9471.8,9017.2,454.6,4.8
2023-02-01,9491.2,9035.6,455.6,4.8
2023-03-01,9492.9,9037.2,455.7,4.8
2023-04-01,9532.8,9084.8,448.0,4.7
2023-05-01,9573.2,9123.3,449.9,4.7
2023-06-01,9597.1,9146.0,451.1,4.7
2023-07-01,9571.5,9121.6,449.9,4.7
2023-08-01,9557.6,9108.4,449.2,4.7
2023-09-01,9543.4,9094.9,448.5,4.7
2023-10-01,9499.2,9052.7,446.5,4.7
2023-11-01,9478.8,9033.3,445.5,4.7
2023-12-01,9486.6,9040.7,445.9,4.7
2024-01-01,9603.5,9152.1,451.4,4.7
2024-02-01,9613.1,9161.3,451.8,4.7
2024-03-01,9643.4,9190.2,453.2,4.7
2024-04-01,9642.0,9188.8,453.2,4.7
2024-05-01,9641.5,9188.3,453.2,4.7
2024-06-01,9640.7,9187.6,453.1,4.7
2024-07-01,9681.3,9236.0,445.3,4.6
2024-08-01,9683.1,9237.7,445.4,4.6
2024-09-01,9682.8,9237.4,445.4,4.6
2024-10-01,9650.0,9206.1,443.9,4.6
2024-11-01,9645.3,9201.6,443.7,4.6
2024-12-01,9640.6,9197.1,443.5,4.6
2025-01-01,9733.6,9285.9,447.7,4.6
2025-02-01,9735.9,9288.0,447.9,4.6
2025-03-01,9735.4,9287.6,447.8,4.6
2025-04-01,9748.0,9299.6,448.4,4.6
2025-05-01,9749.5,9301.0,448.5,4.6
2025-06-01,9750.1,9301.6,448.5,4.6
2025-07-01,9773.1,9323.5,449.6,4.6
2025-08-01,9789.7,9339.4,450.3,4.6
2025-09-01,9773.3,9323.7,449.6,4.6
2025-10-01,9724.4,9277.1,447.3,4.6
2025-11-01,9723.2,9275.9,447.3,4.6
2025-12-01,9726.2,9278.8,447.4,4.6
2026-01-01,9717.3,9270.3,447.0,4.6
