Date,Price,Open,High,Low,Vol.,Change %
4/1/2026,5.9844,5.8796,5.9844,5.7956,,1.97%
3/1/2026,5.869,6.4489,6.5581,5.5408,,-8.99%
2/1/2026,6.4489,6.6188,6.6361,6.3088,,-2.79%
1/1/2026,6.6338,6.4432,6.7183,6.2835,,2.96%
12/1/2025,6.4432,6.6039,6.7655,6.1616,,-2.73%
11/1/2025,6.6243,6.5348,6.6832,6.3991,,1.03%
10/1/2025,6.5568,6.6219,6.8848,6.5202,,-0.98%
9/1/2025,6.6219,6.7259,6.7448,6.2657,,-1.75%
8/1/2025,6.74,6.6856,6.8489,6.6195,,1.07%
7/1/2025,6.6686,6.6444,6.9217,6.5456,,0.37%
6/1/2025,6.6443,6.5036,6.7089,6.3392,,0.85%
5/1/2025,6.5884,6.2734,6.6312,6.0989,,5.02%
4/1/2025,6.2734,6.0677,6.4973,5.8903,,3.19%
3/1/2025,6.0797,5.5756,6.1328,5.3634,,9.04%
2/1/2025,5.5756,5.2622,5.8741,5.15,,5.96%
1/1/2025,5.2622,4.6225,5.4182,4.5622,,13.86%
12/1/2024,4.6218,4.8415,5.3319,4.6225,,-4.48%
11/1/2024,4.8388,5.0158,5.1897,4.3897,,-3.46%
10/1/2024,5.0123,5.17,5.1916,4.897,,-2.99%
9/1/2024,5.1668,5.3141,5.5463,5.0832,,-2.71%
8/1/2024,5.3107,5.5139,5.6739,4.9785,,-3.67%
7/1/2024,5.5129,5.5231,5.612,5.2389,,-0.12%
6/1/2024,5.5197,4.9481,5.7157,4.6833,,11.59%
5/1/2024,4.9464,4.7223,5.072,4.6752,,4.74%
4/1/2024,4.7224,4.8329,4.9331,4.669,,-1.96%
3/1/2024,4.8166,4.9423,5.0619,4.7925,,-2.18%
2/1/2024,4.9241,5.0001,5.12,4.6807,,-1.40%
1/1/2024,4.994,5.0294,5.2259,4.9117,,-1.69%
12/1/2023,5.0799,5.1054,5.2531,4.8975,,0.00%
11/1/2023,5.08,5.0342,5.3437,4.9457,,1.54%
10/1/2023,5.0029,4.8772,5.1693,4.621,,2.58%
9/1/2023,4.8772,4.7814,5.1142,4.6626,,2.00%
8/1/2023,4.7814,4.8458,5.0862,4.3753,,-1.21%
7/1/2023,4.8399,5.107,5.1208,4.6679,,-5.60%
6/1/2023,5.127,5.4906,5.6665,4.9932,,-6.28%
5/1/2023,5.4703,5.6374,5.9756,5.298,,-2.69%
4/1/2023,5.6213,5.8444,5.8869,5.326,,-3.54%
3/1/2023,5.8279,5.93,6.3157,5.5959,,-1.75%
2/1/2023,5.9317,6.524,6.6943,5.82,,-9.04%
1/1/2023,6.5212,6.0907,7.0136,5.7676,,3.89%
12/1/2022,6.2773,7.6885,7.8508,5.9781,,-17.72%
11/1/2022,7.6291,7.5324,7.8571,7.0992,,1.31%
10/1/2022,7.5306,7.7082,8.3511,6.8367,,-4.92%
9/1/2022,7.9202,7.8691,8.658,7.1117,,1.25%
8/1/2022,7.8224,7.6778,8.3412,7.1989,,1.88%
7/1/2022,7.6778,8.5875,9.352,6.6966,,-10.39%
6/1/2022,8.5679,6.7894,9.4739,6.4274,,26.19%
5/1/2022,6.7894,6.0556,7.7581,5.9975,,12.12%
4/1/2022,6.0556,5.7655,6.4495,5.0899,,5.03%
3/1/2022,5.7655,4.7943,6.0007,3.2331,,24.44%
2/1/2022,4.6332,5.6212,5.7549,4.2846,,-17.44%
1/1/2022,5.6117,5.8235,5.8719,5.414,,-3.18%
12/1/2021,5.796,5.9556,5.9832,5.7655,,-2.28%
11/1/2021,5.9315,6.0253,6.0858,5.6982,,-1.41%
10/1/2021,6.0165,5.8664,6.1594,5.8194,,3.01%
9/1/2021,5.8407,5.814,5.9044,5.7831,,1.03%
8/1/2021,5.781,5.8175,5.844,5.7174,,-0.44%
7/1/2021,5.8063,5.8455,5.8707,5.6979,,-0.30%
6/1/2021,5.8239,5.8322,5.9743,5.7872,,0.11%
5/1/2021,5.8176,5.712,5.8676,5.6677,,1.84%
4/1/2021,5.7127,5.6272,5.7799,5.5353,,1.64%
3/1/2021,5.6204,5.5916,5.7759,5.4643,,0.33%
2/1/2021,5.6019,5.5873,5.7067,5.5317,,0.32%
1/1/2021,5.5841,5.6994,5.7683,5.5423,,-1.57%
12/1/2020,5.6731,5.5682,5.778,5.5271,,2.15%
11/1/2020,5.5535,5.4493,5.6934,5.3688,,1.87%
10/1/2020,5.4513,5.574,5.6537,5.4315,,-2.01%
9/1/2020,5.5634,5.6841,5.7317,5.3915,,-1.92%
8/1/2020,5.6723,5.6926,5.7903,5.5281,,0.34%
7/1/2020,5.6532,5.7056,5.8669,5.6423,,-0.74%
6/1/2020,5.6954,5.861,5.9148,5.6773,,-2.84%
5/1/2020,5.8621,5.7279,5.888,5.6161,,2.60%
4/1/2020,5.7135,5.7157,5.9192,5.6024,,0.38%
3/1/2020,5.6917,5.6886,6.0295,5.1136,,-0.51%
2/1/2020,5.7212,5.9325,6.0514,5.6464,,-3.51%
1/1/2020,5.9294,6.1828,6.2207,5.9279,,-4.06%
12/1/2019,6.1802,6.007,6.1971,5.9937,,2.95%
11/1/2019,6.0032,6.0619,6.1525,6.0048,,-0.93%
10/1/2019,6.0595,5.9861,6.1389,5.9332,,1.27%
9/1/2019,5.9838,5.804,6.0866,5.7851,,3.18%
8/1/2019,5.7995,6.039,6.0674,5.7639,,-3.67%
7/1/2019,6.0206,5.9719,6.1372,5.9719,,0.14%
6/1/2019,6.0122,5.8375,6.0645,5.8264,,3.06%
5/1/2019,5.8339,5.8955,5.9175,5.7875,,-0.94%
4/1/2019,5.8892,5.7862,5.9556,5.7704,,1.96%
3/1/2019,5.7758,5.6744,5.9463,5.6722,,1.84%
2/1/2019,5.6713,5.8158,5.8647,5.6228,,-2.41%
1/1/2019,5.8116,5.5169,5.8388,5.4888,,5.54%
12/1/2018,5.5064,5.5646,5.6506,5.375,,-0.99%
11/1/2018,5.5612,5.6191,5.6732,5.4725,,-0.98%
10/1/2018,5.6161,5.535,5.6443,5.4268,,1.56%
9/1/2018,5.53,5.3858,5.557,5.2658,,2.76%
8/1/2018,5.3814,5.5552,5.5738,5.2184,,-3.05%
7/1/2018,5.5508,5.4169,5.5849,5.3705,,2.25%
6/1/2018,5.4284,5.283,5.4564,5.2724,,2.78%
5/1/2018,5.2816,5.2012,5.3613,5.1332,,1.61%
4/1/2018,5.1981,5.5813,5.5869,5.0829,,-6.91%
3/1/2018,5.5837,5.6868,5.7081,5.5136,,-1.78%
2/1/2018,5.685,5.7533,5.7711,5.5723,,-1.11%
1/1/2018,5.7486,5.7717,5.8654,5.6785,,-0.39%
12/1/2017,5.7711,5.6652,5.7889,5.5987,,1.93%
11/1/2017,5.6618,5.7412,5.7794,5.4943,,-1.32%
10/1/2017,5.7377,5.9106,6.0208,5.7015,,-2.87%
9/1/2017,5.9074,5.8237,5.9673,5.8074,,1.50%
8/1/2017,5.8201,5.5123,5.8349,5.4804,,5.61%
7/1/2017,5.511,5.4375,5.548,5.3539,,0.86%
6/1/2017,5.4641,5.5252,5.5753,5.3901,,-0.73%
5/1/2017,5.5044,5.5238,5.5704,5.4029,,-0.27%
4/1/2017,5.5194,5.5796,5.608,5.4316,,-0.97%
3/1/2017,5.5734,5.3574,5.6315,5.3197,,4.21%
2/1/2017,5.3484,5.3745,5.6709,5.3209,,-0.35%
1/1/2017,5.3672,5.4457,5.6294,5.3654,,-1.44%
12/1/2016,5.4454,5.2989,5.5526,5.2121,,2.84%
11/1/2016,5.2952,5.2941,5.3928,5.1225,,-0.06%
10/1/2016,5.2981,5.3411,5.3846,5.2101,,-0.80%
9/1/2016,5.3407,5.2025,5.3666,5.1467,,2.77%
8/1/2016,5.1968,5.3455,5.4195,5.1721,,-2.68%
7/1/2016,5.34,5.3055,5.4136,5.1989,,0.94%
6/1/2016,5.2904,5.0388,5.3492,4.9738,,5.01%
5/1/2016,5.038,5.0601,5.151,4.9105,,-0.43%
4/1/2016,5.0597,5.1633,5.2002,4.8973,,-1.71%
3/1/2016,5.1479,4.6509,5.1723,4.6333,,11.01%
2/1/2016,4.6373,4.841,5.0213,4.4639,,-3.84%
1/1/2016,4.8227,4.6658,4.9157,4.4842,,3.46%
12/1/2015,4.6612,4.6369,4.931,4.4001,,0.65%
11/1/2015,4.6312,4.3782,4.9292,4.3559,,6.02%
