"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","5.8931","6.4489","6.5581","5.5408","","-8.62%"
"02/01/2026","6.4489","6.6188","6.6361","6.3088","","-2.79%"
"01/01/2026","6.6338","6.4432","6.7183","6.2835","","2.96%"
"12/01/2025","6.4432","6.6039","6.7655","6.1616","","-2.73%"
"11/01/2025","6.6243","6.5348","6.6832","6.3991","","1.03%"
"10/01/2025","6.5568","6.6219","6.8848","6.5202","","-0.98%"
"09/01/2025","6.6219","6.7259","6.7448","6.2657","","-1.75%"
"08/01/2025","6.7400","6.6856","6.8489","6.6195","","1.07%"
"07/01/2025","6.6686","6.6444","6.9217","6.5456","","0.37%"
"06/01/2025","6.6443","6.5036","6.7089","6.3392","","0.85%"
"05/01/2025","6.5884","6.2734","6.6312","6.0989","","5.02%"
"04/01/2025","6.2734","6.0677","6.4973","5.8903","","3.19%"
"03/01/2025","6.0797","5.5756","6.1328","5.3634","","9.04%"
"02/01/2025","5.5756","5.2622","5.8741","5.1500","","5.96%"
"01/01/2025","5.2622","4.6225","5.4182","4.5622","","13.86%"
"12/01/2024","4.6218","4.8415","5.3319","4.6225","","-4.48%"
"11/01/2024","4.8388","5.0158","5.1897","4.3897","","-3.46%"
"10/01/2024","5.0123","5.1700","5.1916","4.8970","","-2.99%"
"09/01/2024","5.1668","5.3141","5.5463","5.0832","","-2.71%"
"08/01/2024","5.3107","5.5139","5.6739","4.9785","","-3.67%"
"07/01/2024","5.5129","5.5231","5.6120","5.2389","","-0.12%"
"06/01/2024","5.5197","4.9481","5.7157","4.6833","","11.59%"
"05/01/2024","4.9464","4.7223","5.0720","4.6752","","4.74%"
"04/01/2024","4.7224","4.8329","4.9331","4.6690","","-1.96%"
