,importance
log_usd_kzt,0.0
log_oil_brent,0.0
BaseRate_lag_1,0.0
log_usd_kzt_lag_12,0.0
log_usd_kzt_lag_6,0.0
log_usd_kzt_lag_3,0.0
log_usd_kzt_lag_2,0.0
log_usd_kzt_lag_1,0.0
log_oil_brent_lag_12,0.0
log_oil_brent_lag_6,0.0
log_oil_brent_lag_3,0.0
log_oil_brent_lag_2,0.0
log_oil_brent_lag_1,0.0
Unemployment Rate (%)_lag_12,0.0
Unemployment Rate (%)_lag_6,0.0
Unemployment Rate (%)_lag_3,0.0
Unemployment Rate (%)_lag_2,0.0
BaseRate_lag_2,0.0
BaseRate_lag_3,0.0
BaseRate_lag_6,0.0
log_usd_kzt_std_6,0.0
break_2020_03,0.0
break_2015_08,0.0
is_q4,0.0
is_q1,0.0
is_january,0.0
interaction_doil_dusd,0.0
log_usd_kzt_std_3,0.0
BaseRate_lag_12,0.0
log_usd_kzt_ma_6,0.0
log_usd_kzt_ma_3,0.0
log_oil_brent_std_6,0.0
log_oil_brent_std_3,0.0
log_oil_brent_ma_6,0.0
log_oil_brent_ma_3,0.0
Unemployment Rate (%)_lag_1,0.0
fourier_cos_3,0.0
fourier_sin_3,0.0
gdp_stei,0.0
real_wage_yoy_pct,0.0
nominal_wage_yoy_pct,0.0
log_import,0.0
log_export,0.0
PPI_yoy,0.0
interest_rate_x,0.0
fuel92_yoy,0.0
cpi_russia,0.0
M2_yoy,0.0
russian_cpi,0.0
log_sugar_price,0.0
log_wheat_price,0.0
log_rub_kzt,0.0
log_gold_price,0.0
total_cpi_yoy_x,0.0
total_cpi_yoy_y,0.0
fourier_cos_2,0.0
M2_monetary_base,0.0
fourier_sin_2,0.0
fourier_cos_1,0.0
fourier_sin_1,0.0
USD_KZT,0.0
POILBREUSDM,0.0
BaseRate,0.0
RUB_Kzt,0.0
gold_price_usd_avg,0.0
wheat_growth,0.0
real_wage_index,0.0
GDP_growth,0.0
Oil_crude_brent,0.0
interest_rate_y,0.0
usd_kzt,0.0
break_2022_01,0.0
