feature,importance
Unemployment Rate (%)_lag_6,0.057097483
real_wage_yoy_pct,0.05284532
usd_kzt,0.045401573
POILBREUSDM,0.044457264
wheat_growth,0.044055164
log_oil_brent_std_6,0.043755468
log_export,0.042336646
fourier_sin_3,0.0408701
log_oil_brent,0.04043232
Oil_crude_brent,0.037937984
gold_price_usd_avg,0.037892032
gdp_stei,0.03469956
log_oil_brent_lag_2,0.03464715
M2_monetary_base,0.0343681
fuel92_yoy,0.034252897
log_usd_kzt_lag_12,0.032848313
log_oil_brent_lag_3,0.03000408
PPI_yoy,0.029431121
log_wheat_price,0.02855649
log_usd_kzt_lag_1,0.027191658
log_oil_brent_std_3,0.025312183
log_oil_brent_lag_6,0.023169918
log_usd_kzt_std_3,0.022222899
log_oil_brent_lag_12,0.019665344
log_import,0.019175999
log_oil_brent_lag_1,0.017670447
log_gold_price,0.015459468
log_usd_kzt_std_6,0.014419731
log_usd_kzt_lag_6,0.012839019
log_usd_kzt,0.011684799
M2_yoy,0.011191025
BaseRate_lag_1,0.0095712915
russian_cpi,0.006752898
log_rub_kzt,0.00668284
total_cpi_yoy_x,0.005243073
RUB_Kzt,0.0047940603
fourier_cos_1,0.0005382319
fourier_cos_2,0.00028182974
real_wage_index,0.00024425195
log_sugar_price,0.0
Unemployment Rate (%)_lag_3,0.0
Unemployment Rate (%)_lag_2,0.0
Unemployment Rate (%)_lag_1,0.0
fourier_cos_3,0.0
fourier_sin_2,0.0
BaseRate,0.0
USD_KZT,0.0
fourier_sin_1,0.0
total_cpi_yoy_y,0.0
cpi_russia,0.0
nominal_wage_yoy_pct,0.0
interest_rate_x,0.0
interest_rate_y,0.0
GDP_growth,0.0
Unemployment Rate (%)_lag_12,0.0
log_usd_kzt_lag_3,0.0
BaseRate_lag_6,0.0
BaseRate_lag_3,0.0
BaseRate_lag_2,0.0
log_usd_kzt_lag_2,0.0
log_oil_brent_ma_6,0.0
log_oil_brent_ma_3,0.0
log_usd_kzt_ma_3,0.0
BaseRate_lag_12,0.0
log_usd_kzt_ma_6,0.0
interaction_doil_dusd,0.0
is_january,0.0
is_q1,0.0
is_q4,0.0
break_2015_08,0.0
break_2020_03,0.0
break_2022_01,0.0
